pid,grdatn,age,state,natvty,msafp,year,immigr,se15u,ind2
510440164374 6111 222 1,40,41,71,57,0,2017,0,1,170
8320614049571 6111 122 1,40,63,71,57,0,2017,0,1,180
11015699004021 6011 22110,39,58,71,57,0,2017,0,1,1370
44095371004791 4111 12010,40,40,71,57,0,2017,0,1,6990
50599130300708 6111 12112,39,45,71,57,0,2017,0,1,770
65005379004871 4111 62010,39,34,71,57,0,2017,0,1,770
85844201510007 6011 12112,43,43,71,57,0,2017,0,1,290
105001952510199 5011 121 1,37,57,71,312,0,2017,1,1,8680
105001952510199 5011 221 1,35,58,71,312,0,2017,1,1,8680
110004930246755 6011 12111,43,54,71,57,0,2017,0,1,6970
128240050005365 4011 12011,43,50,71,57,0,2017,0,1,7280
128240050005365 4011 22011,43,48,71,57,0,2017,0,1,7280
153160050094917 5011 32012,40,25,71,57,0,2017,0,1,7380
180690050037745 4111 12010,39,37,71,57,0,2017,0,1,770
405005069510044 4011 12011,39,59,71,57,0,2017,0,1,770
405005069510044 4011 22011,37,48,71,57,0,2017,0,1,8980
410001270265135 6011 22112,39,52,71,57,0,2017,0,1,770
534910238631000 6011 122 1,39,46,71,57,0,2017,0,1,4195
534910238631000 6011 222 1,39,48,71,57,0,2017,0,1,4195
549860254231000 4011 22010,39,41,71,57,0,2017,0,1,770
571655007100276 6011 12111,40,55,71,57,0,2017,0,1,270
571655007100276 6011 22111,44,48,71,57,0,2017,0,1,270
573450301231000 5111 22012,39,62,71,57,0,2017,0,1,8990
593690113041000 6111 22111,37,39,71,57,0,2017,0,1,770
631855006100494 6011 12112,39,34,71,57,0,2017,0,1,770
850899100404604 6011 12112,39,54,71,57,0,2017,0,1,9090
850899100404604 6011 22112,39,54,71,57,0,2017,0,1,9090
911157006200454 6011 222 1,39,39,71,57,0,2017,0,1,770
950606170404605 6111 12112,39,51,71,57,0,2017,0,1,8770
1009413510306 6011 22111,39,48,71,57,22900,2017,0,1,770
19700717060590 4011 12011,39,53,71,57,38220,2017,0,1,5190
19700717060590 4011 22011,40,54,71,57,38220,2017,0,1,5190
45025190006631 4011 22010,42,50,71,57,38220,2017,0,1,8770
810009490034995 4111 12010,40,37,71,57,22900,2017,0,1,8560
810009490034995 4111 22010,45,36,71,57,22900,2017,0,1,6970
905367101590000 6111 22111,39,55,71,57,38220,2017,0,1,8880
908004993510049 6111 12112,43,24,71,57,22900,2017,0,1,8560
610134581460 5011 221 1,43,61,93,138,41860,2017,1,1,7490
610531506197 6011 222 1,39,23,93,57,46700,2017,0,1,8560
610563300678 5011 22012,43,37,93,57,40900,2017,0,1,7280
610764108669 4011 22011,43,46,93,57,37100,2017,0,1,8370
610764108669 4011 32011,43,45,93,57,37100,2017,0,1,8370
611188299188 5011 12012,43,41,93,57,41860,2017,0,1,7070
611258831757 5012 12012,37,36,93,303,31080,2017,1,1,770
611316635530 5011 12012,40,62,93,57,41740,2017,0,1,770
611839750955 4011 32011,43,43,93,57,40140,2017,0,1,7380
612218096537 6011 32111,43,27,93,57,41860,2017,0,1,7380
612940613651 6011 12112,40,59,93,214,41740,2017,1,1,2870
750815067630 6011 32110,43,48,93,57,37100,2017,0,1,7070
2521819058638 5011 221 1,42,40,93,523,31080,2017,1,1,770
2770814090650 5011 22012,44,48,93,207,41940,2017,1,1,7290
4211614014684 5011 12012,43,52,93,57,31080,2017,0,1,5490
4411614014686 5011 121 1,43,22,93,57,31080,2017,0,1,8990
4411614014686 5011 221 1,39,43,93,57,31080,2017,0,1,8990
