"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"76",39380,444,39380,"Pueblo, CO","Pueblo, CO Metro Area","M1",1,"G3110",6179911297,30284241,38.1706581,-104.4898924,62,38,4,"770",890,4.26966292134831,6.96629213483146,0.449438202247191
"77",36540,420,36540,"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA Metro Area","M1",1,"G3110",11266396052,148188348,41.2904587,-95.9999701,490,494,11,"770",6595,7.49052312357847,7.42987111448067,0.166793025018954
"78",35380,406,35380,"New Orleans-Metairie, LA","New Orleans-Metairie, LA Metro Area","M1",1,"G3110",8293551780,12101115061,29.805532,-89.7013821,173,217,25,"770",2311,9.38987451319775,7.48593682388576,1.08178277801817
"79",37900,426,37900,"Peoria, IL","Peoria, IL Metro Area","M1",1,"G3110",6399733016,121934958,40.7882548,-89.514745,39,8,0,"3080",821,0.97442143727162,4.75030450669915,0
"80",36780,118,36780,"Oshkosh-Neenah, WI","Oshkosh-Neenah, WI Metro Area","M1",1,"G3110",1125314828,373176432,44.0857068,-88.6681488,36,13,0,"1870",543,2.39410681399632,6.62983425414365,0
"81",37860,NA,37860,"Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area","M1",1,"G3110",4321779039,983764582,30.6554013,-87.1618275,70,68,7,"770",945,7.1957671957672,7.40740740740741,0.740740740740741
"82",34980,400,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","M1",1,"G3110",16321410263,197967875,36.0885065,-86.7266015,326,301,32,"770",3279,9.17962793534614,9.94205550472705,0.975907288807563
"83",35660,515,35660,"Niles-Benton Harbor, MI","Niles-Benton Harbor, MI Metro Area","M1",1,"G3110",1470458178,2625533765,41.7926389,-86.7418216,18,16,0,"770",303,5.28052805280528,5.94059405940594,0
"84",34740,266,34740,"Muskegon, MI","Muskegon, MI Metro Area","M1",1,"G3110",1295054226,2486391831,43.2892579,-86.751892,43,8,0,"3570",577,1.38648180242634,7.45233968804159,0
"85",37460,NA,37460,"Panama City, FL","Panama City, FL Metro Area","M1",1,"G3110",3398182520,1205718482,30.1010953,-85.4749707,46,67,5,"770",552,12.1376811594203,8.33333333333333,0.905797101449275
