"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"31",31,61,420,796,19,11465,3.66,6.94,2.39,4.52,2000,"Kentucky"
"32",32,62,326,866,32,11913,2.74,7.27,3.7,9.82,2000,"Tennessee"
"33",33,63,242,813,13,12269,1.97,6.63,1.6,5.37,2000,"Alabama"
"34",34,64,167,696,13,9670,1.73,7.2,1.87,7.78,2000,"Mississippi"
"35",35,71,360,882,20,11291,3.19,7.81,2.27,5.56,2000,"Arkansas"
"36",36,72,296,823,43,11100,2.67,7.41,5.22,14.53,2000,"Louisiana"
"37",37,73,582,1140,22,12600,4.62,9.05,1.93,3.78,2000,"Oklahoma"
"38",38,74,7570,3369,447,43499,17.4,7.75,13.27,5.9,2000,"Texas"
"39",39,81,205,1597,39,11945,1.72,13.37,2.44,19.02,2000,"Montana"
"40",40,82,702,1283,27,12653,5.55,10.14,2.1,3.85,2000,"Idaho"
"41",41,83,224,1359,12,11343,1.97,11.98,0.88,5.36,2000,"Wyoming"
"42",42,84,1315,1342,90,13128,10.02,10.22,6.71,6.84,2000,"Colorado"
"43",43,85,938,999,55,11362,8.26,8.79,5.51,5.86,2000,"New Mexico"
"44",44,86,2470,974,101,13702,18.03,7.11,10.37,4.09,2000,"Arizona"
"45",45,87,938,987,31,11828,7.93,8.34,3.14,3.3,2000,"Utah"
"46",46,88,2537,730,78,12592,20.15,5.8,10.68,3.07,2000,"Nevada"
"47",47,91,1138,813,59,11400,9.98,7.13,7.26,5.18,2000,"Washington"
"48",48,92,1130,1154,65,10939,10.33,10.55,5.63,5.75,2000,"Oregon"
"49",49,93,26327,5966,1897,73174,35.98,8.15,31.8,7.21,2000,"California"
"50",50,94,683,888,23,10952,6.24,8.11,2.59,3.37,2000,"Alaska"
"51",51,95,1840,751,141,8841,20.81,8.49,18.77,7.66,2000,"Hawaii"
"52",2,11,467,1550,34,16856,2.77,9.2,2.19,7.28,2002,"Maine"
"53",3,12,1023,1473,85,17455,5.86,8.44,5.77,8.31,2002,"New Hampshire"
"54",4,13,542,1909,93,15430,3.51,12.37,4.87,17.16,2002,"Vermont"
"55",5,14,2879,1326,174,19852,14.5,6.68,13.12,6.04,2002,"Massachusetts"
"56",6,15,2568,1133,110,17252,14.89,6.57,9.71,4.28,2002,"Rhode Island"
"57",7,16,2233,1414,157,17280,12.92,8.18,11.1,7.03,2002,"Connecticut"
"58",8,21,12646,3492,922,51114,24.74,6.83,26.4,7.29,2002,"New York"
"59",9,22,5554,1639,343,25599,21.7,6.4,20.93,6.18,2002,"New Jersey"
"60",10,23,2090,2272,141,35868,5.83,6.33,6.21,6.75,2002,"Pennsylvania"
"61",11,31,1449,1860,76,31918,4.54,5.83,4.09,5.24,2002,"Ohio"
"62",12,32,578,1205,45,18501,3.12,6.51,3.73,7.79,2002,"Indiana"
"63",13,33,5499,2376,388,35551,15.47,6.68,16.33,7.06,2002,"Illinois"
"64",14,34,2074,1794,135,28229,7.35,6.36,7.53,6.51,2002,"Michigan"
"65",15,35,1073,1769,57,20246,5.3,8.74,3.22,5.31,2002,"Wisconsin"
"66",16,41,1223,2164,50,19768,6.19,10.95,2.31,4.09,2002,"Minnesota"
"67",17,42,917,1453,22,17015,5.39,8.54,1.51,2.4,2002,"Iowa"
"68",18,43,537,1124,20,15455,3.47,7.27,1.78,3.72,2002,"Missouri"
"69",19,44,276,1472,21,13773,2,10.69,1.43,7.61,2002,"North Dakota"
"70",20,45,326,1929,13,15745,2.07,12.25,0.67,3.99,2002,"South Dakota"
"71",21,46,953,1590,35,16034,5.94,9.92,2.2,3.67,2002,"Nebraska"
