NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Williamsport, PA",23,6,0,535,48700,41.3436196,-77.0552254,1.121495327,4.299065421,0,2016,Williamsport,PA
"York-Hanover, PA",12,73,0,805,49620,39.9217514,-76.7288887,9.068322981,1.49068323,0,2016,York-Hanover,PA
"Virginia Beach-Norfolk-Newport News, VA-NC",159,213,13,2982,47260,36.8560812,-76.3737908,7.142857143,5.331991952,8.176100629,2016,Virginia Beach-Norfolk-Newport News,VA-NC
"Watertown-Fort Drum, NY",29,30,0,579,48060,43.9965164,-76.0529023,5.18134715,5.008635579,0,2016,Watertown-Fort Drum,NY
"Utica-Rome, NY",26,28,0,532,46540,43.3322887,-75.173169,5.263157895,4.887218045,0,2016,Utica-Rome,NY
"Vineland-Bridgeton, NJ",16,52,0,308,47220,39.3283874,-75.1216435,16.88311688,5.194805195,0,2016,Vineland-Bridgeton,NJ
"Trenton, NJ",25,261,10,708,45940,40.2825027,-74.703724,36.86440678,3.531073446,40,2016,Trenton,NJ
"Oklahoma City, OK",359,480,46,4704,36420,35.4309676,-97.5069659,10.20408163,7.631802721,12.81337047,2016,Oklahoma City,OK
"Racine, WI",36,37,4,579,39540,42.7540747,-87.414676,6.390328152,6.21761658,11.11111111,2016,Racine,WI
"Portland-Vancouver-Hillsboro, OR-WA",697,1386,117,8154,38900,45.6006204,-122.4843457,16.99779249,8.547951925,16.78622669,2016,Portland-Vancouver-Hillsboro,OR-WA
"Mount Vernon-Anacortes, WA",53,102,6,699,34580,48.4932917,-121.8157703,14.59227468,7.582260372,11.32075472,2016,Mount Vernon-Anacortes,WA
"Oxnard-Thousand Oaks-Ventura, CA",186,408,28,1624,37100,34.3587415,-119.1331432,25.12315271,11.45320197,15.05376344,2016,Oxnard-Thousand Oaks-Ventura,CA
"Ogden-Clearfield, UT",131,174,1,3112,36260,41.6218833,-113.0436525,5.59125964,4.209511568,0.763358779,2016,Ogden-Clearfield,UT
"Prescott, AZ",46,30,1,457,39140,34.6312117,-112.5773855,6.564551422,10.06564551,2.173913043,2016,Prescott,AZ
"Provo-Orem, UT",162,257,32,2558,39340,39.872067,-112.3590592,10.04691165,6.333072713,19.75308642,2016,Provo-Orem,UT
"Phoenix-Mesa-Scottsdale, AZ",644,2011,172,10035,38060,33.1857653,-112.0678624,20.03986049,6.417538615,26.70807453,2016,Phoenix-Mesa-Scottsdale,AZ
"Odessa, TX",76,132,19,628,36220,31.8653008,-102.5425068,21.01910828,12.10191083,25,2016,Odessa,TX
"Omaha-Council Bluffs, NE-IA",319,535,28,5025,36540,41.2904587,-95.9999701,10.64676617,6.348258706,8.777429467,2016,Omaha-Council Bluffs,NE-IA
"Pine Bluff, AR",72,52,2,1659,38220,34.0812083,-91.9457289,3.134418324,4.339963834,2.777777778,2016,Pine Bluff,AR
"New Orleans-Metairie, LA",407,503,63,5517,35380,29.805532,-89.7013821,9.117273881,7.377197752,15.47911548,2016,New Orleans-Metairie,LA
"Peoria, IL",56,16,3,743,37900,40.7882548,-89.514745,2.153432032,7.537012113,5.357142857,2016,Peoria,IL
"Oshkosh-Neenah, WI",19,29,1,381,36780,44.0857068,-88.6681488,7.611548556,4.98687664,5.263157895,2016,Oshkosh-Neenah,WI
